	Wlevel					Surge				
2006-02-01	mean abs error	obs mean	model mean	gamma2	wilmott	mean abs error	obs mean	model mean	gamma2	wilmott
Point Atkinson 	0.116	3.458	3.558	0.012	0.994	0.055	0.318	0.330	0.058	0.985
Victoria       	0.082	2.182	2.205	0.035	0.990	0.053	0.276	0.298	0.075	0.979
Patricia Bay   	0.104	2.601	2.678	0.025	0.990	0.055	0.275	0.298	0.066	0.981
Campbell River 	0.122	3.202	3.235	0.034	0.991	0.070	0.270	0.317	0.066	0.973
2006-11-01										
Point Atkinson 	0.102	3.422	3.499	0.026	0.990	0.067	0.320	0.305	0.128	0.960
Victoria       	0.078	2.158	2.182	0.065	0.982	0.047	0.246	0.260	0.134	0.961
Patricia Bay   	0.094	2.565	2.634	0.043	0.983	0.059	0.258	0.261	0.152	0.953
Campbell River 	0.099	3.201	3.243	0.032	0.991	0.063	0.290	0.293	0.153	0.951
2006-12-01										
Point Atkinson 	0.129	3.452	3.531	0.028	0.990	0.100	0.336	0.330	0.272	0.895
Victoria       	0.081	2.229	2.226	0.046	0.988	0.072	0.306	0.300	0.227	0.916
Patricia Bay   	0.102	2.628	2.674	0.035	0.989	0.088	0.308	0.293	0.255	0.896
Campbell River 	0.113	3.234	3.265	0.034	0.991	0.082	0.311	0.304	0.235	0.912
2009-11-01										
Point Atkinson 	0.145	3.426	3.550	0.010	0.995	0.083	0.344	0.397	0.204	0.897
Victoria       	0.109	2.249	2.240	0.029	0.992	0.044	0.365	0.361	0.201	0.933
Patricia Bay   	0.120	2.589	2.685	0.021	0.991	0.074	0.307	0.356	0.216	0.894
Campbell River 	0.116	3.219	3.247	0.016	0.996	0.069	0.341	0.380	0.188	0.915
Averages										
Point Atkinson 	0.123	3.440	3.534	0.019	0.992	0.076	0.330	0.341	0.166	0.934
Victoria       	0.087	2.204	2.213	0.044	0.988	0.054	0.298	0.305	0.159	0.947
Patricia Bay   	0.105	2.596	2.667	0.031	0.988	0.069	0.287	0.302	0.172	0.931
Campbell River 	0.112	3.214	3.247	0.029	0.992	0.071	0.303	0.324	0.160	0.938
Total Avearge	0.107		mean bias	0.031	0.990	0.068		mean bias	0.164	0.938
			0.052					0.013		
Dec 2012 Runs										
CGRF										
Point Atkinson 	0.110	3.362	3.432	0.007	0.997	0.057	0.274	0.273	0.219	0.929
Victoria       	0.129	2.146	2.111	0.036	0.990	0.047	0.282	0.256	0.175	0.934
Patricia Bay   	0.128	2.551	2.571	0.024	0.993	0.052	0.275	0.255	0.185	0.934
Campbell River 	0.121	3.064	3.106	0.013	0.996	0.084	0.188	0.263	0.216	0.849
HRDPS										
Point Atkinson 	0.105	3.362	3.420	0.007	0.998	0.062	0.274	0.260	0.231	0.921
Victoria       	0.126	2.146	2.113	0.035	0.990	0.046	0.282	0.258	0.171	0.937
Patricia Bay   	0.126	2.551	2.575	0.024	0.993	0.050	0.275	0.260	0.175	0.940
Campbell River 	0.121	3.064	3.104	0.014	0.996	0.081	0.188	0.260	0.218	0.854
										
Averages 2 (with Dec 2012 HRDPS)										
Point Atkinson 	0.114	3.401	3.477	0.013	0.995	0.069	0.302	0.301	0.198	0.928
Victoria       	0.107	2.175	2.163	0.039	0.989	0.050	0.290	0.281	0.165	0.942
Patricia Bay   	0.116	2.573	2.621	0.027	0.991	0.060	0.281	0.281	0.174	0.936
Campbell River 	0.117	3.139	3.176	0.021	0.994	0.076	0.246	0.292	0.189	0.896
Total Avearge	0.113	2.822	2.859	0.025	0.992	0.064	0.280	0.289	0.181	0.925
		mean bias: 	0.037				mean bias: 	0.009		
Averages 3 (with Dec 2012	CGRF)									
Point Atkinson 	0.116	3.401	3.483	0.013	0.995	0.067	0.302	0.307	0.192	0.932
Victoria       	0.108	2.175	2.162	0.040	0.989	0.051	0.290	0.280	0.167	0.940
Patricia Bay   	0.116	2.573	2.619	0.028	0.991	0.060	0.281	0.279	0.179	0.932
Campbell River 	0.116	3.139	3.177	0.021	0.994	0.078	0.246	0.293	0.188	0.893
